Wall time,Step,Value
1666155932.7191498,11526,2844.0
1666157052.7456791,11578,2447.0
1666157781.263613,11611,2302.0
1666159633.3356133,11696,2348.0
1666160474.962119,11736,2413.0
1666160921.9497106,11756,2536.0
1666161098.4196987,11765,1811.0
1666161585.855171,11786,3064.0
1666162324.8269272,11819,2170.0
1666162937.5320284,11847,2331.0
1666163365.3564863,11867,2248.0
1666163563.7097008,11876,2189.0
1666163695.4445117,11882,2138.0
1666165239.5684175,11955,2162.0
1666165597.3188996,11972,3178.0
1666166738.4111402,12027,1817.0
1666167806.7114599,12076,2443.0
1666169934.6399639,12175,3088.0
1666170009.0637138,12179,2123.0
1666171210.4424925,12235,2235.0
1666172041.0545173,12271,2930.0
1666172749.6458714,12302,1818.0
1666172794.664864,12304,3450.0
1666173059.4255362,12316,2529.0
1666173883.840463,12354,2214.0
1666174712.4387276,12394,2272.0
1666174788.4555652,12398,2434.0
1666174828.0281386,12400,2449.0
1666175301.828013,12421,2517.0
1666175314.5576842,12422,1697.0
1666175606.8479235,12437,2701.0
1666175824.4524965,12449,2719.0
1666176390.3612547,12476,2631.0
1666176430.4743533,12478,2340.0
1666176472.0618114,12480,2553.0
1666178031.221371,12554,2007.0
1666179035.3420944,12601,2723.0
1666179999.9456818,12648,3303.0
1666181244.3367229,12708,2615.0
1666182845.426523,12782,1944.0
1666183054.2492905,12791,2864.0
1666185351.1133132,12901,2088.0
1666185427.4169528,12905,2893.0
1666186302.2160234,12944,2595.0
1666186884.9393995,12972,1892.0
1666186959.3177183,12976,2466.0
1666187398.1519394,12997,2544.0
1666187650.8241138,13010,2234.0
1666188030.0101264,13024,3151.0
1666188557.4176002,13048,2244.0
1666189541.0790658,13092,2769.0
1666191601.01024,13188,2554.0
1666192946.2694483,13250,2845.0
1666193201.727692,13261,3091.0
1666194102.160879,13304,2462.0
1666195011.1090772,13349,2488.0
1666195845.754727,13388,1831.0
1666196489.319078,13418,1778.0
1666197253.2306116,13455,1962.0
1666198705.4589136,13522,1969.0
1666199289.0616944,13550,1963.0
1666199466.854586,13558,2049.0
1666200848.0326526,13623,2062.0
1666201234.057413,13642,2637.0
1666201270.7278373,13644,2638.0
1666201322.014738,13647,2226.0
1666201576.626018,13660,2221.0
1666203192.853584,13736,2351.0
1666204605.8681297,13802,2123.0
1666205226.708874,13831,2279.0
1666205582.7377226,13849,2636.0
1666206436.8323436,13890,2649.0
1666206986.1221268,13916,1998.0
1666208162.0299625,13971,2265.0
1666208328.4556396,13980,2028.0
1666208860.9144402,14006,2023.0
1666209678.4612322,14046,1646.0
1666212424.8282523,14177,2631.0
1666212639.8226004,14188,2069.0
1666213032.410789,14206,2211.0
1666214078.9315617,14258,2408.0
1666214222.1103358,14265,2370.0
1666215978.029305,14349,2871.0
1666216102.1202426,14354,1738.0
1666216259.262565,14361,2820.0
1666217019.243385,14399,1866.0
1666217143.6097398,14405,2401.0
1666217410.1258988,14419,2525.0
1666217595.4453046,14428,2333.0
1666218977.41774,14496,2239.0
1666219756.5280676,14535,2099.0
1666220644.0255914,14577,2353.0
1666221590.1150396,14623,1933.0
1666222115.114277,14645,2348.0
1666224305.3295248,14745,2788.0
1666224604.8539078,14760,2083.0
1666225886.7536497,14819,2415.0
1666226556.1372228,14851,2338.0
1666226823.6156807,14864,2413.0
1666226883.7432163,14868,2206.0
1666228039.1274498,14921,2583.0
1666228124.2616253,14925,2890.0
1666228450.7181246,14940,2943.0
1666230096.837472,15019,2251.0
1666231034.2207956,15065,1988.0
1666231054.6465588,15066,2433.0
1666231133.247933,15070,2010.0
1666231939.7312183,15110,2859.0
1666232248.9157407,15124,2185.0
1666232518.4198353,15138,2963.0
1666232827.7501583,15153,2881.0
1666233268.6522663,15176,2153.0
1666233462.2542355,15185,2461.0
1666233772.5773857,15199,1815.0
1666236339.2469573,15318,2283.0
1666236699.732371,15334,2224.0
1666237004.9493928,15348,2567.0
1666237332.4305553,15362,2579.0
1666237526.8355808,15371,2252.0
1666238527.837462,15419,3276.0
1666238893.9383247,15435,2154.0
1666239023.0110497,15441,3349.0
1666239333.541895,15456,2777.0
1666239473.6109893,15462,1920.0
1666240068.063338,15490,2993.0
1666242598.0626476,15610,2387.0
1666243159.5474524,15638,2702.0
1666243770.339241,15668,2829.0
1666244686.1623807,15712,2147.0
1666244892.4375334,15722,1920.0
1666245429.4185996,15749,1951.0
1666245655.4710135,15760,2513.0
1666246356.735248,15793,1723.0
1666246527.3458729,15801,2220.0
1666246926.24469,15820,2194.0
1666247193.7688153,15831,2385.0
1666248062.0539434,15873,1871.0
1666249080.4448724,15921,2310.0
1666249098.238926,15922,2431.0
1666251443.528862,16032,2093.0
1666252382.8099732,16076,2595.0
1666253255.8332074,16117,2051.0
1666254702.6451633,16185,2223.0
1666254716.6586604,16186,1902.0
1666255759.8323987,16236,2147.0
1666255814.608712,16239,2340.0
1666255884.8100662,16241,2278.0
1666256001.2690473,16247,2331.0
1666257420.6549392,16313,2291.0
1666258153.8256593,16346,2604.0
1666259162.9124634,16392,3301.0
1666259558.4511156,16411,1784.0
1666259912.5488658,16427,1948.0
1666263562.2485163,16603,2223.0
1666263603.6698565,16605,2633.0
1666263810.1219535,16615,2232.0
1666266251.5423996,16731,2234.0
1666266329.7286139,16735,2684.0
1666268387.5826018,16834,2554.0
1666269019.9153748,16866,1952.0
1666269284.7256167,16880,2347.0
1666269366.9139178,16883,2283.0
1666269841.4111145,16907,2289.0
1666270638.4426172,16947,2269.0
1666270737.5733197,16951,2424.0
1666271821.4163291,17002,2677.0
1666272088.0440354,17016,2773.0
1666272914.5101523,17054,1946.0
1666272974.8423843,17057,2940.0
